commits,id,authors
550,1e3b5ac394031ef86c8106628681119939636e2c,Andreas Jaeger
436,aea7c02997b4ff2a34b5dfce35d617106df512af,James Slagle
347,d206b1fd9ffa7233d788d5863c44e4fe092e559d,Christian Berendt
316,54fb01ef637b982996aa8b373bb851b56df83e7b,Kevin Benton
290,f746ac3385a9e9e037ba2b78d67981c253be685e,James E. Blair
279,fc47e2c0d0d39224628cd9aa9f3f2cf28e7082c6,Edwin Kempin
245,b1c854696bfc1a9063271c57b73d277ebf458874,Jeremy Stanley
229,87381a73063ced5b3db990a174861b1f023fc952,Armando Migliaccio
217,0af963cd612fa7bdc7a669bdc1c48c15175cb9e7,Clark Boylan
212,d98168e986d2f9b30c08131c10fa1d29ad5756b3,Aaron Rosen
